State,Year,District,Dem Votes,GOP Votes,D Voteshare,Incumbent,Party
LA,1948,2,61316,0,1.0,1,D
LA,1948,3,26587,13437,0.664276434,1,D
LA,1948,4,32045,0,1.0,1,D
LA,1948,5,34362,0,1.0,1,D
LA,1948,6,47515,0,1.0,1,D
LA,1948,7,36053,0,1.0,1,D
LA,1948,8,33613,0,1.0,1,D
ME,1948,1,31528,52536,0.37504758299999996,-1,R
ME,1948,2,24698,50552,0.328212625,-1,R
ME,1948,3,15888,38692,0.29109563899999996,-1,R
MD,1948,1,27024,29700,0.47641210100000003,-1,R
MD,1948,2,99157,76235,0.5653450560000001,1,D
MD,1948,3,32138,13131,0.70993395,1,D
MD,1948,4,38486,21084,0.646063455,1,D
MD,1948,5,45902,30997,0.596912834,1,D
MD,1948,6,48304,59856,0.446597633,-1,R
MA,1948,1,56604,75582,0.42821478799999996,-1,R
MA,1948,2,81775,67267,0.548670844,1,D
MA,1948,3,104601,36855,0.73945962,1,D
MA,1948,4,89064,61448,0.591740193,1,D
MA,1948,5,0,139288,0.0,-1,R
MA,1948,6,0,108179,0.0,-1,R
MA,1948,7,100333,26339,0.792069281,1,D
MA,1948,8,72767,75844,0.489647469,-1,R
MA,1948,9,63275,82750,0.43331621299999995,-1,R
MA,1948,10,52022,118741,0.304644449,-1,R
MA,1948,11,106366,0,1.0,1,D
MA,1948,12,125015,0,1.0,1,D
MA,1948,13,69050,89913,0.434377811,-1,R
MA,1948,14,55369,87973,0.386271993,-1,R
MI,1948,1,101954,19609,0.838692694,1,D
MI,1948,2,50148,65006,0.43548639200000006,-1,R
MI,1948,3,42146,64637,0.39468829299999997,-1,R
MI,1948,4,31429,61059,0.33981705700000003,-1,R
MI,1948,5,46972,74191,0.387676106,-1,R
MI,1948,6,72681,73465,0.49731775100000003,-1,R
MI,1948,7,47040,68903,0.40571660200000004,-1,R
MI,1948,8,37125,61394,0.376830865,-1,R
MI,1948,9,35805,51771,0.408844889,-1,R
MI,1948,10,27742,49206,0.36052918899999997,-1,R
MI,1948,11,27265,48633,0.359232127,-1,R
MI,1948,12,32485,42955,0.430607105,-1,R
MI,1948,13,76947,45761,0.627074029,1,D
MI,1948,14,99227,74474,0.571251749,1,D
MI,1948,15,92579,49286,0.652585204,1,D
MI,1948,16,97826,57730,0.6288796320000001,1,D
MI,1948,17,103390,116427,0.470345788,-1,R
MN,1948,1,50533,80345,0.386107673,-1,R
MN,1948,2,46894,82886,0.361334566,-1,R
MN,1948,3,87171,72402,0.546276626,1,D
MN,1948,4,78476,53574,0.594290042,1,D
MN,1948,5,65113,76313,0.46040332,-1,R
MN,1948,6,66601,62194,0.517108583,1,D
MN,1948,7,57863,63879,0.475292011,-1,R
MN,1948,8,88501,44306,0.6663880670000001,1,D
MN,1948,9,47476,57189,0.45359958,-1,R
MS,1948,1,16800,0,1.0,1,D
MS,1948,2,13771,0,1.0,1,D
MS,1948,3,17369,0,1.0,1,D
MS,1948,4,15290,0,1.0,1,D
MS,1948,5,22641,0,1.0,1,D
MS,1948,6,29751,0,1.0,1,D
MS,1948,7,36663,0,1.0,1,D
MO,1948,1,56226,41365,0.5761391929999999,1,D
MO,1948,2,66062,50372,0.567377227,1,D
MO,1948,3,69599,52290,0.571003126,1,D
MO,1948,4,74752,41576,0.642596795,1,D
MO,1948,5,59961,47371,0.5586497970000001,1,D
MO,1948,6,63390,59959,0.5139076929999999,1,D
MO,1948,7,52255,61242,0.460408645,-1,R
MO,1948,8,60081,44887,0.572374438,1,D
MO,1948,9,56669,35232,0.61663094,1,D
MO,1948,10,67564,26760,0.7162970190000001,1,D
MO,1948,11,78162,40719,0.65748101,1,D
MO,1948,12,132920,107861,0.552036913,1,D
MO,1948,13,77245,32217,0.7056786829999999,1,D
MT,1948,1,64276,29937,0.682241304,1,D
MT,1948,2,58711,61124,0.48993199,-1,R
NE,1948,1,57031,76359,0.42755079100000004,-1,R
NE,1948,2,58443,55199,0.514272892,1,D
NE,1948,3,38846,71513,0.351996665,-1,R
NE,1948,4,37511,65549,0.363972443,-1,R
NV,1948,98,29733,28972,0.50648156,1,D
NH,1948,1,51262,64794,0.44170055799999997,-1,R
NH,1948,2,43289,59505,0.421123801,-1,R
NJ,1948,1,77012,89211,0.463305319,-1,R
NJ,1948,2,38194,62804,0.378165904,-1,R
NJ,1948,3,59810,87538,0.405909819,-1,R
NJ,1948,4,77018,48204,0.615051668,1,D
NJ,1948,5,66387,92286,0.418388762,-1,R
NJ,1948,6,61465,83285,0.42462867,-1,R
NJ,1948,7,56095,72873,0.434952857,-1,R
NJ,1948,8,59043,59191,0.49937412299999995,-1,R
NJ,1948,9,54682,90153,0.377546864,-1,R
NJ,1948,10,58668,52898,0.525859133,1,D
NJ,1948,11,52644,50920,0.508323356,1,D
NJ,1948,12,58495,63232,0.480542525,-1,R
NJ,1948,13,84487,39661,0.680534523,1,D
NJ,1948,14,76881,45564,0.627881906,1,D
NM,1948,97,108529,73661,0.5956913110000001,1,D
NM,1948,98,105300,76695,0.578587324,1,D
NY,1948,1,48816,101924,0.323842378,-1,R
NY,1948,2,62142,144052,0.301376374,-1,R
NY,1948,3,65247,104476,0.38443228100000004,-1,R
NY,1948,4,62190,58192,0.5166054729999999,1,D
NY,1948,5,83213,72012,0.536079884,1,D
NY,1948,6,76828,55844,0.579082248,1,D
NY,1948,7,65162,43483,0.5997698929999999,1,D
NY,1948,8,61037,25773,0.703110241,1,D
NY,1948,9,59711,26700,0.6910115609999999,1,D
NY,1948,10,69502,32290,0.6827845020000001,1,D
NY,1948,11,74974,41289,0.64486552,1,D
NY,1948,12,55021,29061,0.654373112,1,D
NY,1948,13,66111,44718,0.596513548,1,D
NY,1948,14,103676,0,1.0,1,D
NY,1948,15,94828,21703,0.813757713,1,D
NY,1948,16,51185,45623,0.528726965,1,D
NY,1948,17,52101,74581,0.41127389799999997,-1,R
NY,1948,18,0,0,-1.0,-1,R
NY,1948,19,77426,20697,0.78907086,1,D
NY,1948,20,73866,34819,0.6796338040000001,1,D
NY,1948,21,64654,66527,0.49286100899999996,-1,R
NY,1948,22,63523,14012,0.819281615,1,D
NY,1948,23,121523,0,1.0,1,D
NY,1948,24,51202,13905,0.786428495,1,D
NY,1948,25,75697,47372,0.615077721,1,D
NY,1948,26,91456,57061,0.615794825,1,D
NY,1948,27,67541,81144,0.454255641,-1,R
NY,1948,28,46335,88822,0.342823531,-1,R
NY,1948,29,48063,79229,0.37758068100000003,-1,R
NY,1948,30,49691,91649,0.351570681,-1,R
NY,1948,31,58215,77725,0.4282404,-1,R
NY,1948,32,88476,65341,0.575203001,1,D
NY,1948,33,52059,98618,0.34550064,-1,R
NY,1948,34,43777,70715,0.38235859299999997,-1,R
NY,1948,35,62855,62717,0.500549486,1,D
NY,1948,36,71847,78409,0.478163934,-1,R
NY,1948,37,35503,65848,0.350297481,-1,R
NY,1948,38,48222,66695,0.419624599,-1,R
NY,1948,39,37272,70659,0.34533174,-1,R
NY,1948,40,85505,90305,0.486348899,-1,R
NY,1948,41,45155,67882,0.39947097,-1,R
NY,1948,42,69290,75842,0.477427445,-1,R
NY,1948,43,72388,66729,0.520338995,1,D
NY,1948,44,79795,71275,0.5281988479999999,1,D
NY,1948,45,35406,58340,0.377680114,-1,R
NC,1948,1,31850,2507,0.9270308820000001,1,D
NC,1948,2,36227,0,1.0,1,D
NC,1948,3,34997,9407,0.788149716,1,D
NC,1948,4,57658,15866,0.784206518,1,D
NC,1948,5,47575,17041,0.73627275,1,D
NC,1948,6,50659,17906,0.73884635,1,D
NC,1948,7,43292,7839,0.8466879190000001,1,D
NC,1948,8,46941,27924,0.627008616,1,D
NC,1948,9,51586,35008,0.595722567,1,D
NC,1948,10,48043,32321,0.5978174310000001,1,D
NC,1948,11,40009,21614,0.649254337,1,D
NC,1948,12,52036,30456,0.630800562,1,D
ND,1948,97,0,132343,0.0,-1,R
ND,1948,98,0,128545,0.0,-1,R
OH,1948,1,69240,73952,0.48354656700000004,-1,R
OH,1948,2,75062,66968,0.52849398,1,D
OH,1948,3,110204,79162,0.581962971,1,D
OH,1948,4,45534,57321,0.44270089,-1,R
OH,1948,5,32076,34950,0.478560559,-1,R
OH,1948,6,46944,41492,0.530824551,1,D
OH,1948,7,0,71737,0.0,-1,R
OH,1948,8,36685,43929,0.455069839,-1,R
OH,1948,9,85409,73394,0.53782989,1,D
OH,1948,10,27913,38330,0.421372824,-1,R
OH,1948,11,32667,33796,0.49150655299999996,-1,R
OH,1948,12,87770,95575,0.47871499100000003,-1,R
OH,1948,13,38264,55408,0.408489196,-1,R
OH,1948,14,125346,92535,0.5752956889999999,1,D
OH,1948,15,45575,35294,0.563565767,1,D
OH,1948,16,79859,71871,0.526323074,1,D
OH,1948,17,53651,60234,0.471098037,-1,R
OH,1948,18,65475,55455,0.541428926,1,D
OH,1948,19,134448,63079,0.680656315,1,D
OH,1948,20,64241,0,1.0,1,D
OH,1948,21,72417,22932,0.759494069,1,D
OH,1948,22,141018,170085,0.453283961,-1,R
OH,1948,98,1455972,1342409,0.52029084,1,D
OK,1948,1,77949,68423,0.532540377,1,D
OK,1948,2,43801,18236,0.7060463920000001,1,D
OK,1948,3,57300,11007,0.838859853,1,D
